icao lat lon dist(km) windspdmin(kt) windhdgmin1 windhdgmax1 windhdgmin2 windhdgmax2 windhdgmin3 windhdgmax3 shear(kt)
EDDS 48.7190 9.3695 1 3 0 360 999 999 999 999 0
EGAC 54.6176 -5.8718 3 15 100 160 999 999 999 999 15
EGBE 52.3725 -1.4797 3 18 100 145 999 999 999 999 0
EGCC 53.3588 -2.2727 2 12 20 70 999 999 999 999 15
EGFF 51.3985 -3.3395 2 10 215 270 300 360 0 50 0
EGHI 50.9513 -1.3562 8 18 245 290 999 999 999 999 0
EGHQ 50.4413 -4.9967 5 5 0 360 999 999 999 999 10
EGJJ 49.2066 -2.2113 2 5 0 360 999 999 999 999 10
EGKK 51.1534 -0.1665 2 15 170 250 999 999 999 999 10
EGLL 51.4776 -0.4333 1.5 15 170 250 999 999 999 999 25
EGMH 51.3376 1.3838 2 8 20 55 165 195 999 999 0
EGNS 54.0806 -4.6449 2 5 120 165 999 999 999 999 10
EGNT 55.0452 -1.6610 3 5 160 190 999 999 999 999 0
EGNX 52.8302 -1.3630 3 18 160 190 999 999 999 999 10
EGPB 59.8788 -1.2936 6 15 0 360 999 999 999 999 10
EGPE 57.5423 -4.0479 8 18 160 200 999 999 999 999 10
EGPR 57.0250 -7.4470 5 30 160 240 999 999 999 999 10
EGSH 52.6760 1.3087 3 18 170 245 999 999 999 999 10
EGTE 50.7385 -3.3859 3 5 0 360 999 999 999 999 10
EHAM 52.2984 4.7819 1 15 75 200 999 999 999 999 25
EHRD 51.9531 4.4309 1 5 90 180 999 999 999 999 10
EKVG 62.0637 -7.2773 5 18 285 335 120 155 999 999 0
KDEN 39.8491 -104.6844 40 8 190 350 999 999 999 999 0
LDDU 42.5740 18.2361 2 10 25 65 999 999 999 999 20
LEBB 43.3013 -2.9110 6 8 120 260 999 999 999 999 5
LICJ 38.1799 13.1031 5 10 150 270 999 999 999 999 10
LOWI 47.2602 11.3494 10 10 0 360 999 999 999 999 10
LPCR 39.6714 -31.1162 1 5 0 360 999 999 999 999 10
LPFL 39.4566 -31.1316 1 5 0 360 999 999 999 999 10
LPMA 32.6967 -16.7758 3.5 7 255 360 10 40 120 230 10
LXGB 36.1511 -5.3499 4 5 120 240 999 999 999 999 5
VHHH 22.3080 113.9185 5 5 110 190 0 45 999 999 5
